Model,Scaler,Feature_Set,Train_LogLoss,Val_LogLoss,Train_Acc,Val_Acc
LogisticRegression,StandardScaler,base_features,7.497403308282152,7.558640594161967,0.7919910274537851,0.7902920519027022
LogisticRegression,MinMaxScaler,base_features,8.253869070039325,8.234475185486104,0.7710035389328358,0.7715416054918456
LogisticRegression,RobustScaler,base_features,7.496022385229281,7.5171586651196405,0.7920293399699434,0.7914429321587767
LogisticRegression,StandardScaler,poly_features,7.404803908274415,7.521315916254558,0.794560117745717,0.7913275928203907
LogisticRegression,MinMaxScaler,poly_features,8.012002782291738,8.056213973117218,0.7777139099692141,0.7764873087046811
LogisticRegression,RobustScaler,poly_features,7.7669171477476695,7.720310941909856,0.7845135989990188,0.7858066478843433
LogisticRegression,StandardScaler,poly_doubled_features,7.2113107367452,7.450885788942491,0.7999284184959299,0.7932816158088964
LogisticRegression,MinMaxScaler,poly_doubled_features,7.963169279871773,7.998155481923396,0.7790687532724934,0.7780980913455815
LogisticRegression,RobustScaler,poly_doubled_features,8.241893081112261,8.151601909708289,0.7713358023911977,0.7738408528762087
LogisticRegression,StandardScaler,interaction_features,7.433367521357395,7.558635826672136,0.7937676449967808,0.7902921841725857
LogisticRegression,MinMaxScaler,interaction_features,8.098152594430832,8.143287407438455,0.7753237579163952,0.7740715315529807
LogisticRegression,RobustScaler,interaction_features,9.080827390923057,9.113514495988625,0.7480602953066662,0.7471534198378371
LogisticRegression,StandardScaler,poly_interaction_features,7.201175585968789,7.46332893740824,0.8002096094913875,0.7929363914130392
LogisticRegression,MinMaxScaler,poly_interaction_features,7.9719225653876835,7.99401253325798,0.7788259009339301,0.7782130338743172
LogisticRegression,RobustScaler,poly_interaction_features,7.883932857305567,7.969131003816317,0.7812670993089174,0.7789033503961483
RandomForestClassifier,StandardScaler,base_features,1.7027401921193737,7.36794100081717,0.9527589455559051,0.7955828472415115
RandomForestClassifier,MinMaxScaler,base_features,1.7027401921193737,7.380384149282918,0.9527589455559051,0.7952376228456542
RandomForestClassifier,RobustScaler,base_features,1.7027401921193737,7.380393684262584,0.9527589455559051,0.7952373583058874
RandomForestClassifier,StandardScaler,poly_features,1.7032008727608503,7.5710932776073845,0.9527461643698111,0.789946562967078
RandomForestClassifier,MinMaxScaler,poly_features,1.7032008727608503,7.500610707907147,0.9527461643698111,0.791902040924302
RandomForestClassifier,RobustScaler,poly_features,1.7036615534023265,7.537906780875557,0.9527333831837168,0.7908672936259143
RandomForestClassifier,StandardScaler,poly_doubled_features,1.7036615534023265,7.745235378760022,0.9527333831837168,0.7851151409335608
RandomForestClassifier,MinMaxScaler,poly_doubled_features,1.7036615534023265,7.6498569771486205,0.9527333831837168,0.7877613322222664
RandomForestClassifier,RobustScaler,poly_doubled_features,1.7036615534023265,7.741059057665771,0.9527333831837168,0.7852310093514807
RandomForestClassifier,StandardScaler,interaction_features,1.703661612290303,7.492315275596647,0.952733381549921,0.7921321905215402
RandomForestClassifier,MinMaxScaler,interaction_features,1.703661553402327,7.488177094421066,0.9527333831837168,0.7922470007803923
RandomForestClassifier,RobustScaler,interaction_features,1.7036616122903034,7.492320043086481,0.952733381549921,0.7921320582516567
RandomForestClassifier,StandardScaler,poly_interaction_features,1.7032008727608503,7.674728971610615,0.9527461643698111,0.7870712802402021
RandomForestClassifier,MinMaxScaler,poly_interaction_features,1.7036615534023265,7.741068592645438,0.9527333831837168,0.7852307448117137
RandomForestClassifier,RobustScaler,poly_interaction_features,1.7036615534023265,7.76182624338102,0.9527333831837168,0.7846548417390845
XGBClassifier,StandardScaler,base_features,3.313343372623808,7.276767525239021,0.9080741528375638,0.7981123764929963
XGBClassifier,MinMaxScaler,base_features,3.313343372623808,7.276767525239021,0.9080741528375638,0.7981123764929963
XGBClassifier,RobustScaler,base_features,3.313343372623808,7.276767525239021,0.9080741528375638,0.7981123764929963
XGBClassifier,StandardScaler,poly_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,MinMaxScaler,poly_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,RobustScaler,poly_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,StandardScaler,poly_doubled_features,3.0332364694753084,7.450881021452656,0.9158454766854698,0.7932817480787799
XGBClassifier,MinMaxScaler,poly_doubled_features,2.9968423454708093,7.426071004358498,0.916855200189677,0.7939700805523591
XGBClassifier,RobustScaler,poly_doubled_features,3.046597621389566,7.508953815115982,0.9154747830776377,0.791670568628229
XGBClassifier,StandardScaler,interaction_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,MinMaxScaler,interaction_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,RobustScaler,interaction_features,3.1428825254170927,7.243542888588523,0.9128034416631573,0.7990341653109004
XGBClassifier,StandardScaler,poly_interaction_features,3.0157334906100606,7.434328296750328,0.9163310817010405,0.7937409891141886
XGBClassifier,MinMaxScaler,poly_interaction_features,2.9968423454708093,7.426071004358498,0.916855200189677,0.7939700805523591
XGBClassifier,RobustScaler,poly_interaction_features,3.037384008560037,7.608470397902965,0.9157304067995191,0.7889095670806714
